,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ilek,100,RU,1587341080,87,51.53,53.38,45.88,5.75
1,nabire,54,ID,1587340716,64,-3.37,135.48,85.96,1.36
2,qaanaaq,75,GL,1587341083,84,77.48,-69.36,15.82,16.4
3,mataura,72,NZ,1587341084,66,-46.19,168.86,55.99,5.99
4,atar,0,MR,1587341086,20,20.52,-13.05,71.76,8.34
5,codrington,62,AU,1587341009,60,-38.27,141.97,60.48,23.73
6,georgetown,20,MY,1587341088,94,5.41,100.34,80.6,3.91
7,ndioum,2,SN,1587341089,39,16.51,-14.65,78.8,6.93
8,bluff,78,NZ,1587341091,66,-46.6,168.33,55.99,5.99
9,port elizabeth,29,ZA,1587341093,46,-33.92,25.57,71.6,12.75
10,cherskiy,100,RU,1587341094,93,68.75,161.3,9.03,7.92
11,san cristobal,90,VE,1587341095,63,7.77,-72.22,69.76,0.92
12,bilma,42,NE,1587341096,12,18.69,12.92,84.18,5.23
13,kodiak,90,US,1587341098,81,57.79,-152.41,44.6,10.29
14,upernavik,94,GL,1587341099,84,72.79,-56.15,26.91,26.26
15,avarua,2,CK,1587341100,66,-21.21,-159.78,84.2,8.05
16,ouadda,84,CF,1587341102,69,8.08,22.4,69.71,4.21
17,gimbi,99,ET,1587341103,23,9.17,35.83,62.31,0.56
18,vila franca do campo,20,PT,1587341104,62,37.72,-25.43,55.4,4.7
19,busselton,78,AU,1587341106,60,-33.65,115.33,61.0,20.2
20,carnarvon,49,AU,1587341107,83,-24.87,113.63,71.6,11.41
21,alekseyevka,78,RU,1587341108,72,50.63,38.69,38.88,3.29
22,hobart,75,AU,1587340824,76,-42.88,147.33,57.0,6.93
23,punta arenas,20,CL,1587340908,78,-53.15,-70.92,42.8,23.04
24,coihaique,40,CL,1587341112,93,-45.58,-72.07,41.0,8.05
25,dwarka,29,IN,1587341113,81,22.24,68.97,80.15,11.23
26,alugan,94,PH,1587341115,82,12.22,125.48,82.29,12.95
27,saint george,1,US,1587340932,28,37.1,-113.58,71.6,13.87
28,concordia,0,AR,1587341117,62,-31.39,-58.02,71.01,4.61
29,sitka,90,US,1587341119,81,57.05,-135.33,51.8,4.7
30,porto belo,3,BR,1587341120,80,-27.16,-48.55,66.99,2.33
31,toila,67,EE,1587341121,79,59.42,27.5,37.99,7.65
32,rio gallegos,20,AR,1587340942,52,-51.62,-69.22,42.8,25.28
33,tessalit,0,ML,1587341124,29,20.2,1.01,80.24,8.23
34,kavieng,78,PG,1587341125,75,-2.57,150.8,83.79,7.14
35,nikolskoye,67,RU,1587341126,94,59.7,30.79,37.4,4.47
36,yellowknife,40,CA,1587341128,53,62.46,-114.35,26.6,20.8
37,salta,0,AR,1587341122,72,-24.79,-65.41,64.4,3.36
38,ushuaia,90,AR,1587341130,86,-54.8,-68.3,41.0,27.51
39,rikitea,100,PF,1587341131,67,-23.12,-134.97,77.07,5.99
40,caravelas,78,BR,1587341133,76,-17.71,-39.25,76.08,15.39
41,thompson,90,CA,1587340924,85,55.74,-97.86,23.0,9.17
42,hilo,1,US,1587341135,51,19.73,-155.09,82.4,12.75
43,nioro,54,GM,1587341137,40,13.35,-15.75,76.8,9.4
44,east london,0,ZA,1587340931,54,-33.02,27.91,76.21,13.35
45,albany,90,US,1587340973,62,42.6,-73.97,55.99,5.01
46,durazno,7,UY,1587340882,71,-33.41,-56.5,63.72,6.73
47,qaqortoq,0,GL,1587341142,58,60.72,-46.03,28.4,4.7
48,tazovskiy,100,RU,1587341143,98,67.47,78.7,34.27,9.42
49,pochutla,40,MX,1587341144,66,15.74,-96.47,86.0,17.22
50,avera,75,US,1587341146,94,33.19,-82.53,57.2,4.7
51,nueva concepcion,54,GT,1587341147,62,14.2,-91.3,83.62,5.7
52,khatanga,34,RU,1587341148,95,71.97,102.5,24.04,5.41
53,tiksi,94,RU,1587341149,91,71.69,128.87,14.04,6.31
54,henties bay,5,NA,1587341151,93,-22.12,14.28,59.0,1.99
55,maragogi,40,BR,1587341037,80,-9.01,-35.22,80.01,6.64
56,tecoanapa,72,MX,1587341153,63,16.52,-98.75,83.62,7.87
57,hermanus,38,ZA,1587341155,93,-34.42,19.23,61.0,1.01
58,sungurlu,95,TR,1587341156,32,40.17,34.37,55.56,3.98
59,kapaa,1,US,1587341157,61,22.08,-159.32,80.6,10.29
60,puerto ayora,86,EC,1587341153,85,-0.74,-90.35,80.01,8.99
61,chokurdakh,86,RU,1587341161,94,70.63,147.92,7.12,11.52
62,priiskovyy,92,RU,1587341162,70,51.93,116.63,23.92,17.74
63,vila velha,40,BR,1587341163,73,-20.33,-40.29,75.2,10.29
64,yazykovo,60,RU,1587341165,79,55.22,56.14,36.46,5.7
65,new norfolk,100,AU,1587341166,91,-42.78,147.06,57.0,7.74
66,marystown,100,CA,1587341167,93,47.17,-55.15,38.41,22.15
67,dikson,90,RU,1587341158,89,73.51,80.55,34.48,22.77
68,visnes,0,NO,1587341170,81,59.36,5.22,44.6,8.05
69,katherine,4,AU,1587341171,58,-14.47,132.27,86.0,3.36
70,ribeira grande,7,PT,1587341160,63,38.52,-28.7,56.68,12.53
71,souillac,40,MU,1587341174,88,-20.52,57.52,75.2,11.41
72,tuktoyaktuk,90,CA,1587341152,85,69.45,-133.04,10.4,9.17
73,akcakoca,51,TR,1587341176,58,41.09,31.12,59.5,5.39
74,cape town,75,ZA,1587341091,77,-33.93,18.42,63.0,18.34
75,hailun,100,CN,1587341179,78,47.45,126.93,47.59,19.3
76,tahe,100,CN,1587341180,79,52.33,124.73,21.49,13.38
77,san andres,20,CO,1587341182,70,12.58,-81.7,84.2,9.17
78,sisimiut,98,GL,1587341075,92,66.94,-53.67,29.48,32.91
79,portland,20,US,1587340807,48,45.52,-122.68,64.99,8.05
80,atuona,38,PF,1587341185,73,-9.8,-139.03,82.89,12.97
81,torbay,90,CA,1587341140,92,47.67,-52.73,35.01,33.33
82,kasungu,95,MW,1587341188,68,-13.03,33.48,60.17,3.51
83,mecca,100,SA,1587340997,73,21.43,39.83,74.16,1.63
84,begoro,98,GH,1587341191,82,6.39,-0.38,73.53,6.71
85,port lincoln,100,AU,1587341192,58,-34.73,135.87,62.22,15.35
86,tokmak,100,UA,1587341193,80,47.25,35.71,46.67,5.12
87,saldanha,31,ZA,1587341194,82,-33.01,17.94,59.0,12.75
88,padang,17,ID,1587341151,76,-0.95,100.35,78.73,4.21
89,henin-beaumont,76,FR,1587341197,54,50.42,2.93,54.0,12.75
90,pingliang,93,CN,1587341198,29,35.54,106.69,44.6,8.97
91,chuy,23,UY,1587341153,89,-33.7,-53.46,64.58,7.49
92,castro,34,BR,1587341201,70,-24.79,-50.01,57.07,5.88
93,esperance,0,AU,1587341202,87,-33.87,121.9,51.8,8.05
94,morondava,0,MG,1587341203,64,-20.28,44.28,78.37,11.21
95,bredasdorp,6,ZA,1587341162,93,-34.53,20.04,54.0,2.24
96,lavrentiya,100,RU,1587341206,91,65.58,-171.0,21.18,8.16
97,adre,73,TD,1587341065,15,13.47,22.2,72.43,6.89
98,glens falls,90,US,1587340803,44,43.31,-73.64,57.2,11.41
99,mogzon,98,RU,1587341210,78,51.74,111.96,18.48,9.62
100,ostrovnoy,74,RU,1587341211,97,68.05,39.51,25.7,7.67
101,wawa,90,NG,1587341213,62,9.9,4.42,83.21,11.21
102,huilong,99,CN,1587341214,82,31.81,121.66,57.69,9.48
103,labuan,75,MY,1587341061,94,5.28,115.24,80.6,3.76
104,mattru,100,SL,1587341216,86,7.62,-11.83,78.15,2.51
105,bullhead city,40,US,1587341218,24,35.15,-114.57,84.99,11.41
106,sept-iles,90,CA,1587341219,97,50.2,-66.38,32.0,13.87
107,bambous virieux,40,MU,1587341220,88,-20.34,57.76,75.2,11.41
108,katsuura,75,JP,1587341222,93,35.13,140.3,51.8,6.93
109,barrow,90,US,1587341223,85,71.29,-156.79,12.2,6.93
110,jumla,97,NP,1587341205,31,29.27,82.18,44.67,4.59
111,rio verde de mato grosso,3,BR,1587341225,74,-18.92,-54.84,72.72,6.53
112,quatre cocos,40,MU,1587341157,88,-20.21,57.76,75.2,11.41
113,leningradskiy,93,RU,1587341025,92,69.38,178.42,13.62,9.06
114,gamba,100,GA,1587341229,87,-2.65,10.0,75.94,12.08
115,lagoa,23,PT,1587341231,63,39.05,-27.98,56.55,17.36
116,tasiilaq,100,GL,1587341146,92,65.61,-37.64,32.0,4.7
117,maryborough,4,AU,1587341233,69,-25.53,152.7,80.01,8.99
118,chechat,85,IN,1587341234,27,24.77,75.88,78.64,3.85
119,nueva loja,20,EC,1587341236,65,0.08,-76.88,82.4,4.7
120,yuancheng,64,CN,1587341237,32,36.65,107.79,42.89,12.93
121,kyabe,77,TD,1587341238,32,9.45,18.94,89.19,7.92
122,lata,56,PT,1587341240,93,40.16,-8.33,54.0,3.0
123,orasje,100,BA,1587341241,87,45.04,18.69,55.99,8.05
124,la paz,75,BO,1587341225,61,-16.5,-68.15,46.4,3.36
125,namatanai,78,PG,1587341244,75,-3.67,152.43,83.53,6.06
126,sawtell,34,AU,1587341245,64,-30.38,153.1,71.6,9.17
127,salalah,40,OM,1587341246,69,17.02,54.09,82.4,5.82
128,kavaratti,42,IN,1587341169,69,10.57,72.64,85.08,5.19
129,la palma,90,US,1587341249,52,33.85,-118.05,68.0,9.17
130,kirkwall,0,GB,1587341250,87,58.98,-2.96,44.6,13.87
131,diyarb najm,0,EG,1587341251,72,30.75,31.44,62.6,11.41
132,villa carlos paz,0,AR,1587341249,59,-31.42,-64.5,73.99,6.93
133,conde,8,BR,1587341254,94,-7.26,-34.91,77.0,6.35
134,mokrousovo,77,RU,1587341255,64,55.81,66.77,41.0,5.86
135,bengkulu,84,ID,1587341256,83,-3.8,102.27,78.13,4.12
136,dingle,89,PH,1587341078,76,11.0,122.67,83.32,12.44
137,jamestown,90,US,1587341058,81,42.1,-79.24,44.6,12.75
138,provideniya,100,RU,1587341025,95,64.38,-173.3,22.44,14.94
139,vila,20,PT,1587341262,93,42.03,-8.16,50.0,1.12
140,hithadhoo,90,MV,1587341263,75,-0.6,73.08,84.76,10.29
141,port-gentil,100,GA,1587341264,81,-0.72,8.78,79.61,2.37
142,kaeo,100,NZ,1587341265,95,-35.1,173.78,61.0,1.01
143,bud,40,US,1587341219,54,39.45,-86.18,57.2,4.7
144,port blair,11,IN,1587341268,77,11.67,92.75,83.32,6.38
145,teseney,85,ER,1587341269,17,15.11,36.66,72.5,6.44
146,alihe,100,CN,1587341271,76,50.57,123.72,23.81,12.75
147,bonavista,100,CA,1587341234,96,48.65,-53.11,32.4,39.48
148,boyolangu,94,ID,1587341273,81,-8.12,111.89,79.34,2.84
149,truro,93,GB,1587341274,76,50.27,-5.05,54.0,4.7
150,waitara,96,NZ,1587341276,81,-38.92,174.25,64.0,8.99
151,nishihara,90,JP,1587341277,100,26.18,127.76,66.2,8.05
152,sri aman,95,MY,1587341278,94,1.24,111.46,78.8,0.83
153,ashqelon,0,IL,1587341280,16,31.67,34.57,62.01,9.04
154,wenling,22,CN,1587341281,73,28.37,121.36,66.0,1.01
155,hamilton,75,US,1587341259,54,39.18,-84.53,55.99,9.17
156,nampula,75,MZ,1587341283,94,-15.12,39.27,71.6,8.05
157,alice springs,1,AU,1587341285,23,-23.7,133.88,87.8,12.75
158,arraial do cabo,96,BR,1587341007,70,-22.97,-42.03,73.67,4.79
159,westport,1,US,1587341287,62,41.14,-73.36,55.99,19.46
160,kruisfontein,20,ZA,1587341177,49,-34.0,24.73,67.21,4.18
161,geraldton,0,AU,1587341287,82,-28.77,114.6,59.0,12.75
162,lappeenranta,83,FI,1587341291,60,61.06,28.19,39.2,2.24
163,talara,20,PE,1587341293,71,-4.58,-81.27,75.07,11.79
